0.005,0.0001,3000,22,3,0.0256,2.2193e-05
0.005,0.0001,3500,31,3,0.010603,0.007514
0.005,0.0001,4000,32,11,0.048304,0.11081
0.005,0.0001,4500,41,11,0.47985,0.0032936
0.005,0.0001,5000,46,3,0.34351,0.14915
0.01,0.0001,3000,53,10,0.0012344,0.18089
0.01,0.0001,3500,54,14,0.25462,0.081089
0.01,0.0001,4000,61,14,1.4715,0.040884
0.01,0.0001,4500,65,19,9.2801e-08,0.073058
0.01,0.0001,5000,67,19,0.1571,0.019482
0.02,0.0001,3000,73,22,0.15449,0.051506
0.02,0.0001,3500,82,22,0.39284,0.0034729
0.02,0.0001,4000,84,24,0.16877,0.038809
0.02,0.0001,4500,90,23,0.04904,0.20474
0.02,0.0001,5000,96,20,0.094275,0.20118
0.03,0.0001,3000,93,23,0.47926,0.023716
0.03,0.0001,3500,101,21,1.2995,0.076588
0.03,0.0001,4000,94,28,0.0021397,0.023119
0.03,0.0001,4500,100,26,1.2228,0.0083105
0.03,0.0001,5000,100,26,0.84032,0.050932
0.04,0.0001,3000,94,28,0.92061,0.10308
0.04,0.0001,3500,100,27,0.25383,0.009438
0.04,0.0001,4000,109,22,0.046667,0.024245
0.04,0.0001,4500,103,29,0.00041618,0.044406
0.04,0.0001,5000,105,29,0.31326,0.014496
0.05,0.0001,3000,101,27,0.39213,0.036958
0.05,0.0001,3500,104,28,0.032037,0.040052
0.05,0.0001,4000,111,25,0.058601,0.015479
0.05,0.0001,4500,107,32,0.037347,0.0018441
0.05,0.0001,5000,115,29,0.25472,2.686e-07
0.1,0.0001,3000,117,34,0.0018899,0.0048717
0.1,0.0001,3500,120,32,0.33985,0.043278
0.1,0.0001,4000,124,27,0.0023086,0.025479
0.1,0.0001,4500,130,25,1.2716,0.20484
0.1,0.0001,5000,130,28,0.59895,0.11144
0.15,0.0001,3000,132,31,3.9315,0.24689
0.15,0.0001,3500,130,34,0.00546,0.016867
0.15,0.0001,4000,131,25,0.025528,0.038573
0.15,0.0001,4500,133,34,0.40434,0.10235
0.15,0.0001,5000,131,32,0.59845,6.5805e-08
0.2,0.0001,3000,132,31,1.8643,0.10564
0.2,0.0001,3500,137,33,0.00014962,0.022254
0.2,0.0001,4000,137,34,1.2685,0.090836
0.2,0.0001,4500,128,34,0.52779,0.19773
0.2,0.0001,5000,137,31,0.53473,0.032318
